campus,bldgno,bldgname,Year,Month,Day,Hour,cold,wash_cold
Tempe,57MF,Phys Sci Res Lab,2019,1,7,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,12,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,13,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,14,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,15,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,16,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,17,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,18,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,19,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,20,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,21,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,22,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,8,23,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,0,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,1,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,2,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,3,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,4,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,5,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,6,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,7,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,8,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,9,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,10,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,11,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,12,0.0,0.0
Tempe,57MF,Phys Sci Res Lab,2019,1,9,13,0.0,0.0
