0,1,time,week
143.87,227.68,2019-06-01 21:00:00,6
142.8,169.54,2019-06-01 22:00:00,6
114.07,225.74,2019-06-01 23:00:00,6
136.82,43.87,2019-04-21 00:00:00,7
125.55,168.24,2019-04-21 01:00:00,7
185.05,42.15,2019-04-21 02:00:00,7
136.3,56.87,2019-04-21 03:00:00,7
152.36,71.27,2019-04-21 04:00:00,7
165.55,54.58,2019-04-21 05:00:00,7
164.84,28.42,2019-04-21 06:00:00,7
149.65,55.21,2019-04-21 07:00:00,7
155.29,145.11,2019-04-21 08:00:00,7
153.16,153.56,2019-04-21 09:00:00,7
151.84,175.67,2019-04-21 10:00:00,7
157.63,199.37,2019-04-21 11:00:00,7
151.74,211.76,2019-04-21 12:00:00,7
147.38,225.88,2019-04-21 13:00:00,7
148.98,229.96,2019-04-21 14:00:00,7
153.23,233.63,2019-04-21 15:00:00,7
146.27,240.25,2019-04-21 16:00:00,7
149.12,236.44,2019-04-21 17:00:00,7
152.28,226.13,2019-04-21 18:00:00,7
154.25,197.82,2019-04-21 19:00:00,7
162.65,182.18,2019-04-21 20:00:00,7
161.48,167.99,2019-04-21 21:00:00,7
160.8,150.6,2019-04-21 22:00:00,7
173.03,85.14,2019-04-21 23:00:00,7
217.16,130.04,2019-04-28 00:00:00,7
130.68,117.43,2019-04-28 01:00:00,7
127.41,112.61,2019-04-28 02:00:00,7
155.85,91.48,2019-04-28 03:00:00,7
160.14,99.96,2019-04-28 04:00:00,7
159.8,80.77,2019-04-28 05:00:00,7
139.19,73.24,2019-04-28 06:00:00,7
139.07,104.82,2019-04-28 07:00:00,7
143.89,151.76,2019-04-28 08:00:00,7
142.22,191.13,2019-04-28 09:00:00,7
135.72,222.92,2019-04-28 10:00:00,7
144.65,247.46,2019-04-28 11:00:00,7
137.31,281.37,2019-04-28 12:00:00,7
143.11,326.62,2019-04-28 13:00:00,7
152.49,349.37,2019-04-28 14:00:00,7
142.91,354.79,2019-04-28 15:00:00,7
148.71,344.05,2019-04-28 16:00:00,7
141.58,305.42,2019-04-28 17:00:00,7
139.68,292.99,2019-04-28 18:00:00,7
150.92,252.18,2019-04-28 19:00:00,7
148.74,248.24,2019-04-28 20:00:00,7
150.01,231.37,2019-04-28 21:00:00,7
151.94,200.77,2019-04-28 22:00:00,7
153.73,207.46,2019-04-28 23:00:00,7
125.0,150.39,2019-05-05 00:00:00,7
139.66,113.03,2019-05-05 01:00:00,7
167.36,80.88,2019-05-05 02:00:00,7
160.07,82.89,2019-05-05 03:00:00,7
154.71,69.54,2019-05-05 04:00:00,7
164.27,41.41,2019-05-05 05:00:00,7
164.52,42.82,2019-05-05 06:00:00,7
140.89,78.59,2019-05-05 07:00:00,7
142.17,130.07,2019-05-05 08:00:00,7
146.25,197.15,2019-05-05 09:00:00,7
145.53,219.05,2019-05-05 10:00:00,7
