p,k,db,cp,sp,exemplars,labels
-13.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-14.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-15.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-16.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-17.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-18.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-19.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-20.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-21.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-22.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-23.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-24.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-25.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-26.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-27.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-28.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-29.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-30.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-31.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-32.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
-33.0,16,0.0,0.0,7.57967554356926,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
